,timestamp,euro_to_usd,chinese_yuan_to_usd,uk_pound_to_usd,japanese_yen_to_usd,swiss_franc_to_usd,brazilian_real_to_usd,indian_rupee_to_usd,russian_ruble_to_usd,south_african_rand_to_usd
0,2004-01-01,,,,,,,,,
1,2004-01-02,1.2592,,1.7858,,,0.3462124359506994,0.0219346347883307,,0.149812734082397
2,2004-01-05,1.2657,0.1208167210341911,1.7996,0.0093545369504209,0.8128759551292473,0.3465723989741456,0.0219202104340201,0.0339506696769593,0.1572327044025157
3,2004-01-06,1.2756,0.120815261383818,1.8209,0.0094117647058823,0.8130081300813008,0.3494182186659212,0.0219202104340201,0.034193879295606,0.1544401544401544
4,2004-01-07,1.2679,0.120813801768714,1.8140000000000005,0.0094126506024096,0.8073631519457453,0.3508771929824561,0.0219154065307911,0.034193879295606,
5,2004-01-08,1.2634,0.120813801768714,1.8122,0.0094206311822892,0.8020532563362208,0.3482500435312554,0.0219587176108915,,0.1506024096385542
6,2004-01-09,1.2737,0.1208167210341911,1.8365,0.0092980009298,0.8139345596614033,0.3498950314905528,0.0219780219780219,0.0344925116757152,0.1484780994803266
7,2004-01-12,1.2828,0.1208167210341911,1.8523,,0.821557673348669,0.3519391849088477,0.0220167327168648,0.0346367128374048,0.1483679525222551
8,2004-01-13,1.2749,0.12081964044075,1.845,0.0093870271285084,0.8146639511201629,0.3551767004084531,0.022011886418666,0.0346211237324341,0.1436781609195402
9,2004-01-14,1.2692,0.12081964044075,1.836,0.0094144228958764,0.8123476848090982,0.3569643749553794,0.0220215811495265,0.0346391124073836,0.1388888888888889
10,2004-01-15,1.2635,0.1208211001969384,1.8236000000000003,0.0094117647058823,0.8077544426494346,0.3554418141750195,0.022011886418666,0.0346266382728232,0.1396648044692737
11,2004-01-16,1.2493,0.1208211001969384,1.8115,0.0094250706880301,0.7977662544874351,0.3556440714133295,0.022002200220022,0.0346266382728232,0.1364256480218281
12,2004-01-19,1.2373,,1.7858999999999998,0.00938526513374,0.7870297497245397,0.3549119818285065,0.0220215811495265,0.0347269248266258,0.1375515818431912
13,2004-01-20,1.2536,0.1208167210341911,1.8078000000000003,0.0093023255813953,0.7955449482895784,0.3519763471894688,0.0220167327168648,0.0347399540737807,0.1375515818431912
14,2004-01-21,1.2607,0.120815261383818,1.8304,0.0093300988990483,0.8045052292839903,0.3524353281172904,0.0220312844238819,0.0347190878601237,0.1405481377371749
15,2004-01-22,1.271,0.120815261383818,1.8438,0.0093562874251497,0.8101101749837978,0.3520011264036045,0.0220264317180616,,0.1411432604093154
16,2004-01-23,1.2692,0.120815261383818,1.8476,0.0094161958568738,0.8128759551292473,0.3520011264036045,0.0220458553791887,0.0350245522110999,0.1401541695865452
17,2004-01-26,1.2575,0.120815261383818,1.8279000000000003,0.0094144228958764,0.8027614995584812,0.3517782389981356,,0.0350922751374739,0.1383125864453665
18,2004-01-27,1.2517,0.120815261383818,1.8066,0.0094206311822892,0.7963051441312311,0.3518277451359814,0.0220458553791887,0.0350706146826635,0.1402524544179523
19,2004-01-28,1.2563,0.120815261383818,1.834,0.0094161958568738,0.8037293039704227,0.3499072745722383,0.0220555800617556,0.035106196243637,0.1440922190201729
20,2004-01-29,1.2468,0.1208167210341911,1.8248,0.0094250706880301,0.7999360051195904,0.3474997393751954,0.022050716648291,0.0350980639907902,0.141743444365698
21,2004-01-30,1.2384,0.12081964044075,1.8108,0.0094366330093422,0.7923930269413629,0.3421376762009032,0.0220701831825204,0.0350954772458473,0.1428571428571428
22,2004-02-02,1.2461,0.1208167210341911,1.8222,0.0094688003030016,0.7938398031277288,0.3401244855617156,,0.0350567217758333,0.1422475106685632
23,2004-02-03,1.2585,0.120813801768714,1.838,0.0094759783947692,0.8028904054596547,0.339236040436936,0.0220750551876379,0.0349399905662025,0.1444043321299639
24,2004-02-04,1.2524,0.120813801768714,1.8378,0.0094885662776354,0.7993605115907275,0.3410873865884439,0.0220701831825204,0.0350531581142803,0.1440922190201729
25,2004-02-05,1.2583,0.120812342188878,1.8324,0.0094759783947692,0.801346261719689,0.3436662313561069,0.0220896841175171,0.035099295908124,0.1453488372093023
26,2004-02-06,1.2529,0.120812342188878,1.8333,0.0094206311822892,0.7974481658692185,0.3409827121764926,0.0220848056537102,0.0349963603785206,0.1414427157001414
27,2004-02-09,1.2713,0.120812342188878,1.8603,0.0094607379375591,0.8112273870365864,0.33907500339075,0.0220896841175171,0.0350952309090717,0.1431639226914817
28,2004-02-10,1.2764,0.120813801768714,1.8715,0.0094831673779042,0.8138020833333334,0.3409129649200559,0.0220994475138121,0.0350818107827453,0.1447178002894356
29,2004-02-11,1.268,0.120815261383818,1.8702,,0.8044405116241653,0.342583076396026,0.0220945647370746,0.0350493494840735,0.1447178002894356
30,2004-02-12,1.2802,0.120813801768714,1.8924,0.009493070058857,0.8128759551292473,0.3419387929560608,0.0220994475138121,0.0350655726208009,0.1494768310911808
31,2004-02-13,1.2816,0.1208167210341911,1.8919,0.0094885662776354,0.8119519324455992,0.3444237790177034,0.0220945647370746,,0.15220700152207
32,2004-02-16,1.2741,,1.8845,0.0094831673779042,,0.3439144340887987,0.0220994475138121,0.0350939992770636,0.1506024096385542
33,2004-02-17,1.2858,0.1208167210341911,1.907,0.0094634238667549,0.8171937566396993,0.3441393075917131,0.0220799293442261,,0.1506024096385542
34,2004-02-18,1.2824,0.1208167210341911,1.9092,0.0094732853353543,0.8159934720522236,0.3434419754782429,,0.0351060729995681,0.1529051987767584
